0.3000E-08,0.9600E-07,0.1356E-05,0.1219E-04,0.7850E-04,0.3857E-03,0.1503E-02,0.4763E-02,0.1250E-01,0.2759E-01,0.5233E-01,0.8710E-01,0.1252E+00,0.1489E+00,0.1511E+00,0.1335E+00,0.9933E-01,0.7089E-01,0.4581E-01
0.3800E-07,0.1015E-05,0.1282E-04,0.1021E-03,0.5746E-03,0.2422E-02,0.7917E-02,0.2046E-01,0.4216E-01,0.6934E-01,0.9067E-01,0.9192E-01,0.6443E-01,0.2188E-01,0.6138E-04,0.1791E-01,0.5986E-01,0.1042E+00,0.1270E+00
0.2290E-06,0.5504E-05,0.6235E-04,0.4400E-03,0.2157E-02,0.7759E-02,0.2105E-01,0.4342E-01,0.6749E-01,0.7630E-01,0.5732E-01,0.2079E-01,0.9117E-09,0.2082E-01,0.6021E-01,0.6945E-01,0.3594E-01,0.3555E-02,0.8647E-02
0.9380E-06,0.2050E-04,0.2085E-03,0.1302E-02,0.5550E-02,0.1692E-01,0.3753E-01,0.5993E-01,0.6556E-01,0.4251E-01,0.9007E-02,0.2638E-02,0.3318E-01,0.5534E-01,0.3292E-01,0.1915E-02,0.1298E-01,0.5162E-01,0.6175E-01
0.2973E-05,0.5907E-04,0.5399E-03,0.2985E-02,0.1102E-01,0.2824E-01,0.5021E-01,0.5912E-01,0.3962E-01,0.7888E-02,0.3116E-02,0.3133E-01,0.4515E-01,0.1725E-01,0.6832E-03,0.2930E-01,0.4766E-01,0.2274E-01,0.1000E-08
0.7765E-05,0.1405E-03,0.1155E-02,0.5648E-02,0.1801E-01,0.3840E-01,0.5323E-01,0.4252E-01,0.1210E-01,0.9855E-03,0.2435E-01,0.3886E-01,0.1471E-01,0.1240E-02,0.2952E-01,0.3858E-01,0.8099E-02,0.5528E-02,0.3814E-01
0.1738E-04,0.2868E-03,0.2124E-02,0.9188E-02,0.2521E-01,0.4416E-01,0.4583E-01,0.2106E-01,0.2119E-03,0.1462E-01,0.3451E-01,0.1817E-01,0.8818E-04,0.2247E-01,0.3248E-01,0.5571E-02,0.7635E-02,0.3512E-01,0.2296E-01
0.3417E-04,0.5160E-03,0.3448E-02,0.1320E-01,0.3105E-01,0.4397E-01,0.3208E-01,0.5502E-02,0.4401E-02,0.2724E-01,0.2424E-01,0.1388E-02,0.1241E-01,0.2965E-01,0.8099E-02,0.4870E-02,0.2948E-01,0.1836E-01,0.1664E-03
0.6010E-04,0.8327E-03,0.5035E-02,0.1707E-01,0.3429E-01,0.3849E-01,0.1774E-01,0.4113E-04,0.1463E-01,0.2756E-01,0.8388E-02,0.2816E-02,0.2411E-01,0.1479E-01,0.5560E-03,0.2274E-01,0.2007E-01,0.5498E-04,0.1845E-01
0.9567E-04,0.1221E-02,0.6704E-02,0.2017E-01,0.3449E-01,0.2990E-01,0.7054E-02,0.2410E-02,0.2154E-01,0.1857E-01,0.3930E-03,0.1263E-01,0.2105E-01,0.1646E-02,0.1112E-01,0.2293E-01,0.2529E-02,0.9801E-02,0.2396E-01
0.1390E-03,0.1643E-02,0.8223E-02,0.2201E-01,0.3197E-01,0.2070E-01,0.1437E-02,0.7744E-02,0.2193E-01,0.8330E-02,0.1675E-02,0.1839E-01,0.1036E-01,0.1199E-02,0.1883E-01,0.9819E-02,0.1732E-02,0.1981E-01,0.9325E-02
0.1854E-03,0.2039E-02,0.9359E-02,0.2241E-01,0.2761E-01,0.1279E-01,0.5460E-06,0.1212E-01,0.1758E-01,0.1955E-02,0.6714E-02,0.1688E-01,0.2303E-02,0.7230E-02,0.1619E-01,0.9483E-03,0.9988E-02,0.1562E-01,0.2364E-03
0.2278E-03,0.2348E-02,0.9953E-02,0.2145E-01,0.2245E-01,0.7017E-02,0.8923E-03,0.1391E-01,0.1174E-01,0.1476E-04,0.1054E-01,0.1149E-01,0.4300E-07,0.1160E-01,0.8909E-02,0.7449E-03,0.1427E-01,0.6366E-02,0.2496E-02
0.2595E-03,0.2523E-02,0.9958E-02,0.1948E-01,0.1740E-01,0.3387E-02,0.2441E-02,0.1335E-01,0.6737E-02,0.6761E-03,0.1152E-01,0.6140E-02,0.1247E-02,0.1189E-01,0.3113E-02,0.4194E-02,0.1234E-01,0.9338E-03,0.7416E-02
0.2721E-03,0.2517E-02,0.9328E-02,0.1673E-01,0.1287E-01,0.1393E-02,0.3621E-02,0.1131E-01,0.3339E-02,0.2001E-02,0.1023E-01,0.2566E-02,0.3141E-02,0.9480E-02,0.4828E-03,0.6700E-02,0.7870E-02,0.7278E-04,0.9256E-02
0.2657E-03,0.2356E-02,0.8284E-02,0.1379E-01,0.9249E-02,0.4701E-03,0.4111E-02,0.8861E-02,0.1452E-02,0.2926E-02,0.8034E-02,0.8049E-03,0.4223E-02,0.6529E-02,0.5977E-05,0.7131E-02,0.4085E-02,0.1105E-02,0.8166E-02
