3.152E-9,9.248E-8,1.303E-6,1.174E-5,7.582E-5,3.741E-4,1.465E-3,4.676E-3,1.239E-2,2.763E-2,5.239E-2,8.514E-2,1.192E-1,1.443E-1,1.514E-1,1.378E-1,1.087E-1,7.417E-2,4.370E-2,2.213E-2,9.584E-3,3.525E-3
3.684E-8,9.779E-7,1.235E-5,9.849E-5,5.556E-4,2.352E-3,7.732E-3,2.013E-2,4.189E-2,6.967E-2,9.140E-2,9.128E-2,6.350E-2,2.328E-2,3.440E-4,1.553E-2,6.166E-2,1.087E-1,1.284E-1,1.144E-1,8.061E-2,4.588E-2
2.209E-7,5.313E-6,6.015E-5,4.246E-4,2.087E-3,7.539E-3,2.057E-2,4.280E-2,6.724E-2,7.696E-2,5.824E-2,2.124E-2,5.504E-5,1.853E-2,5.696E-2,6.930E-2,3.928E-2,3.933E-3,1.018E-2,5.989E-2,1.111E-1,1.257E-1
9.101E-7,1.985E-5,2.016E-4,1.259E-3,5.375E-3,1.646E-2,3.677E-2,5.929E-2,6.571E-2,4.331E-2,9.417E-3,2.395E-3,3.150E-2,5.446E-2,3.492E-2,2.823E-3,1.221E-2,5.283E-2,6.233E-2,2.540E-2,2.027E-5,3.218E-2
2.902E-6,5.751E-5,5.243E-4,2.895E-3,1.070E-2,2.756E-2,4.941E-2,5.894E-2,4.031E-2,8.392E-3,2.916E-3,3.090E-2,4.503E-2,1.900E-2,1.903E-4,2.621E-2,4.910E-2,2.392E-2,2.870E-5,2.925E-2,6.313E-2,4.079E-2
7.646E-6,1.379E-4,1.130E-3,5.512E-3,1.759E-2,3.767E-2,5.277E-2,4.299E-2,1.283E-2,7.938E-4,2.408E-2,3.928E-2,1.579E-2,6.554E-4,2.667E-2,3.844E-2,9.386E-3,5.263E-3,3.970E-2,3.805E-2,3.338E-3,1.610E-2
1.730E-5,2.846E-4,2.099E-3,9.046E-3,2.481E-2,4.365E-2,4.591E-2,2.182E-2,3.504E-4,1.396E-2,3.470E-2,1.896E-2,1.157E-5,2.070E-2,3.298E-2,6.963E-3,6.673E-3,3.556E-2,2.279E-2,6.229E-5,2.849E-2,4.287E-2
3.449E-5,5.189E-4,3.450E-3,1.314E-2,3.085E-2,4.386E-2,3.254E-2,6.025E-3,3.884E-3,2.673E-2,2.476E-2,1.643E-3,1.149E-2,2.986E-2,9.877E-3,3.415E-3,2.906E-2,1.909E-2,2.723E-4,2.662E-2,2.968E-2,8.685E-4
6.155E-5,8.500E-4,5.109E-3,1.721E-2,3.443E-2,3.873E-2,1.824E-2,9.500E-5,1.392E-2,2.749E-2,8.759E-3,2.589E-3,2.385E-2,1.623E-2,1.536E-4,2.063E-2,2.095E-2,8.569E-5,1.948E-2,2.540E-2,6.292E-4,1.972E-2
9.945E-5,1.265E-3,6.899E-3,2.058E-2,3.496E-2,3.028E-2,7.339E-3,2.179E-3,2.107E-2,1.874E-2,4.528E-4,1.250E-2,2.160E-2,2.292E-3,9.568E-3,2.278E-2,3.034E-3,9.817E-3,2.439E-2,2.807E-3,1.210E-2,2.710E-2
1.465E-4,1.725E-3,8.572E-3,2.272E-2,3.265E-2,2.101E-2,1.502E-3,7.545E-3,2.176E-2,8.447E-3,1.640E-3,1.855E-2,1.095E-2,8.341E-4,1.821E-2,1.074E-2,1.413E-3,2.014E-2,8.918E-3,3.469E-3,2.322E-2,6.176E-3
1.976E-4,2.167E-3,9.867E-3,2.334E-2,2.832E-2,1.290E-2,1.121E-6,1.212E-2,1.754E-2,1.956E-3,6.794E-3,1.709E-2,2.519E-3,6.740E-3,1.669E-2,1.384E-3,9.548E-3,1.577E-2,1.060E-4,1.453E-2,1.311E-2,7.569E-4
2.449E-4,2.516E-3,1.057E-2,2.246E-2,2.304E-2,6.952E-3,9.823E-4,1.407E-2,1.165E-2,8.734E-6,1.072E-2,1.151E-2,3.480E-7,1.149E-2,9.648E-3,4.615E-4,1.407E-2,6.185E-3,3.160E-3,1.614E-2,1.990E-3,9.247E-3
2.793E-4,2.709E-3,1.059E-2,2.038E-2,1.773E-2,3.229E-3,2.662E-3,1.350E-2,6.552E-3,7.573E-4,1.163E-2,5.966E-3,1.275E-3,1.202E-2,3.558E-3,3.648E-3,1.223E-2,7.675E-4,8.359E-3,9.896E-3,3.368E-4,1.367E-2
2.928E-4,2.702E-3,9.922E-3,1.748E-2,1.300E-2,1.244E-3,3.928E-3,1.139E-2,3.143E-3,2.160E-3,1.020E-2,2.363E-3,3.257E-3,9.661E-3,6.297E-4,6.228E-3,7.772E-3,1.487E-4,9.902E-3,3.748E-3,3.371E-3,1.101E-2
